noh_crop,i_crop_a,un_crop_a,tca,state_code,district_code,district,social_group_code,class_category_code,size_class_code,crop_code
97,0,16,16,28,537,RANGAREDDY,2,3,31,103
124,0,21,21,28,537,RANGAREDDY,2,2,21,103
0,0,0,0,28,537,RANGAREDDY,2,5,51,103
81,0,9,9,28,537,RANGAREDDY,2,1,11,103
21,0,9,9,28,537,RANGAREDDY,2,4,41,103
3052,15,1656,1671,28,538,MAHABUBNAGAR,3,2,21,103
5,0,4,4,28,538,MAHABUBNAGAR,1,4,42,103
2,0,7,7,28,538,MAHABUBNAGAR,3,5,52,103
1790,1,964,965,28,538,MAHABUBNAGAR,3,1,12,103
13,0,15,15,28,538,MAHABUBNAGAR,2,4,43,103
0,0,0,0,28,538,MAHABUBNAGAR,1,5,52,103
0,0,0,0,28,538,MAHABUBNAGAR,2,5,52,103
392,1,100,101,28,538,MAHABUBNAGAR,1,1,11,103
23,0,9,9,28,538,MAHABUBNAGAR,1,3,32,103
100,0,74,74,28,538,MAHABUBNAGAR,1,3,31,103
148,7,74,80,28,538,MAHABUBNAGAR,2,1,12,103
32,0,42,42,28,538,MAHABUBNAGAR,2,4,41,103
18,0,7,7,28,538,MAHABUBNAGAR,1,4,41,103
328,0,158,158,28,538,MAHABUBNAGAR,2,2,21,103
87,0,84,84,28,538,MAHABUBNAGAR,3,4,43,103
648,10,388,397,28,538,MAHABUBNAGAR,1,2,21,103
0,0,0,0,28,538,MAHABUBNAGAR,1,5,51,103
2168,9,506,515,28,538,MAHABUBNAGAR,3,1,11,103
493,11,281,292,28,538,MAHABUBNAGAR,3,3,32,103
0,0,0,0,28,538,MAHABUBNAGAR,1,4,43,103
89,0,24,24,28,538,MAHABUBNAGAR,2,1,11,103
11,0,20,20,28,538,MAHABUBNAGAR,2,4,42,103
229,16,145,161,28,538,MAHABUBNAGAR,3,4,42,103
1190,27,640,668,28,538,MAHABUBNAGAR,3,3,31,103
205,1,124,125,28,538,MAHABUBNAGAR,3,4,41,103
368,0,191,191,28,538,MAHABUBNAGAR,1,1,12,103
0,0,0,0,28,538,MAHABUBNAGAR,2,3,32,103
44,0,84,84,28,538,MAHABUBNAGAR,3,5,51,103
93,0,61,61,28,538,MAHABUBNAGAR,2,3,31,103
2,0,2,2,28,538,MAHABUBNAGAR,2,5,51,103
0,0,0,0,28,534,KARIMNAGAR,1,4,41,103
28,0,15,15,28,535,MEDAK,3,1,12,103
0,0,0,0,28,535,MEDAK,1,5,51,103
11,0,9,9,28,535,MEDAK,3,3,32,103
0,0,0,0,28,534,KARIMNAGAR,1,3,31,103
21,12,0,12,28,534,KARIMNAGAR,3,2,21,103
5,0,6,6,28,535,MEDAK,3,5,51,103
0,0,0,0,28,534,KARIMNAGAR,3,3,32,103
15,0,21,21,28,535,MEDAK,3,4,42,103
0,0,0,0,28,535,MEDAK,1,5,52,103
0,0,0,0,28,535,MEDAK,1,4,43,103
0,0,0,0,28,535,MEDAK,2,4,41,103
30,6,11,17,28,534,KARIMNAGAR,3,1,12,103
0,0,0,0,28,534,KARIMNAGAR,1,5,51,103
21,2,9,12,28,535,MEDAK,1,1,12,103
0,0,0,0,28,535,MEDAK,1,4,42,103
26,0,21,21,28,535,MEDAK,3,4,41,103
0,0,0,0,28,535,MEDAK,1,3,32,103
0,0,0,0,28,535,MEDAK,1,4,41,103
0,0,0,0,28,535,MEDAK,3,5,52,103
106,0,15,15,28,535,MEDAK,3,1,11,103
12,0,7,7,28,535,MEDAK,1,3,31,103
0,0,0,0,28,534,KARIMNAGAR,1,4,43,103
39,0,38,38,28,535,MEDAK,3,2,21,103
0,0,0,0,28,535,MEDAK,2,3,31,103
0,0,0,0,28,535,MEDAK,2,2,21,103
0,0,0,0,28,534,KARIMNAGAR,1,5,52,103
5,0,7,7,28,535,MEDAK,3,4,43,103
15,0,9,9,28,535,MEDAK,1,2,21,103
0,0,0,0,28,534,KARIMNAGAR,3,4,41,103
0,0,0,0,28,534,KARIMNAGAR,3,4,43,103
0,0,0,0,28,534,KARIMNAGAR,1,4,42,103
0,0,0,0,28,534,KARIMNAGAR,3,4,42,103
0,0,0,0,28,534,KARIMNAGAR,1,3,32,103
0,0,0,0,28,534,KARIMNAGAR,3,1,11,103
0,0,0,0,28,534,KARIMNAGAR,1,1,11,103
0,0,0,0,28,535,MEDAK,2,4,42,103
0,0,0,0,28,534,KARIMNAGAR,1,2,21,103
0,0,0,0,28,535,MEDAK,2,3,32,103
0,0,0,0,28,534,KARIMNAGAR,3,3,31,103
8,3,0,3,28,534,KARIMNAGAR,1,1,12,103
0,0,0,0,28,535,MEDAK,2,5,52,103
0,0,0,0,28,535,MEDAK,2,1,12,103
11,0,4,4,28,535,MEDAK,2,1,11,103
0,0,0,0,28,535,MEDAK,2,4,43,103
0,0,0,0,28,534,KARIMNAGAR,3,5,52,103
0,0,0,0,28,534,KARIMNAGAR,3,5,51,103
27,0,30,30,28,535,MEDAK,3,3,31,103
0,0,0,0,28,535,MEDAK,2,5,51,103
120,0,20,20,28,535,MEDAK,1,1,11,103
0,0,0,0,28,533,NIZAMABAD,2,4,42,103
895,263,1,265,28,533,NIZAMABAD,1,1,12,103
0,0,0,0,28,533,NIZAMABAD,1,4,43,103
112,120,0,120,28,533,NIZAMABAD,3,4,42,103
0,0,0,0,28,533,NIZAMABAD,3,5,52,103
0,0,0,0,28,533,NIZAMABAD,2,3,32,103
0,0,0,0,28,533,NIZAMABAD,2,5,51,103
1301,252,2,253,28,533,NIZAMABAD,3,1,11,103
2858,950,0,950,28,533,NIZAMABAD,3,1,12,103
1453,909,0,909,28,533,NIZAMABAD,3,3,31,103
0,0,0,0,28,533,NIZAMABAD,2,4,43,103
483,375,0,375,28,533,NIZAMABAD,3,3,32,103
30,37,0,37,28,533,NIZAMABAD,3,4,43,103
12,7,0,7,28,533,NIZAMABAD,2,3,31,103
160,156,0,156,28,533,NIZAMABAD,3,4,41,103
0,0,0,0,28,533,NIZAMABAD,1,4,42,103
0,0,0,0,28,533,NIZAMABAD,1,5,52,103
5159,2342,3,2345,28,533,NIZAMABAD,3,2,21,103
720,298,0,298,28,533,NIZAMABAD,1,2,21,103
140,51,0,51,28,533,NIZAMABAD,2,1,12,103
33,23,0,23,28,533,NIZAMABAD,1,3,32,103
96,62,0,62,28,533,NIZAMABAD,1,3,31,103
97,39,0,39,28,533,NIZAMABAD,2,2,21,103
0,0,0,0,28,533,NIZAMABAD,1,5,51,103
0,0,0,0,28,533,NIZAMABAD,1,4,41,103
81,12,0,12,28,533,NIZAMABAD,2,1,11,103
486,92,0,92,28,533,NIZAMABAD,1,1,11,103
0,0,0,0,28,533,NIZAMABAD,2,5,52,103
19,47,0,47,28,533,NIZAMABAD,3,5,51,103
0,0,0,0,28,533,NIZAMABAD,2,4,41,103
0,0,0,0,28,532,ADILABAD,1,3,32,103
0,0,0,0,28,532,ADILABAD,2,4,42,103
15,0,10,10,28,532,ADILABAD,1,3,31,103
10,4,3,7,28,532,ADILABAD,1,1,12,103
8,0,5,5,28,532,ADILABAD,3,3,32,103
0,0,0,0,28,532,ADILABAD,1,4,42,103
0,0,0,0,28,532,ADILABAD,1,5,51,103
3,0,0,0,28,532,ADILABAD,2,1,11,103
4,0,2,2,28,532,ADILABAD,2,3,31,103
0,0,0,0,28,532,ADILABAD,1,4,41,103
0,0,0,0,28,532,ADILABAD,2,5,51,103
0,0,0,0,28,532,ADILABAD,1,4,43,103
5,0,4,4,28,532,ADILABAD,3,3,31,103
123,12,9,21,28,532,ADILABAD,3,1,11,103
29,21,0,21,28,532,ADILABAD,3,1,12,103
20,0,3,3,28,532,ADILABAD,1,1,11,103
0,0,0,0,28,532,ADILABAD,2,4,41,103
0,0,0,0,28,532,ADILABAD,3,4,43,103
3,0,1,1,28,532,ADILABAD,2,3,32,103
0,0,0,0,28,532,ADILABAD,1,5,52,103
9,9,0,9,28,532,ADILABAD,1,2,21,103
4,0,2,2,28,532,ADILABAD,2,2,21,103
3,1,0,1,28,532,ADILABAD,3,4,41,103
7,3,0,3,28,532,ADILABAD,3,4,42,103
0,0,0,0,28,532,ADILABAD,3,5,52,103
18,12,12,25,28,532,ADILABAD,3,5,51,103
3,2,0,2,28,532,ADILABAD,2,1,12,103
0,0,0,0,28,532,ADILABAD,2,4,43,103
0,0,0,0,28,532,ADILABAD,2,5,52,103
42,26,15,41,28,532,ADILABAD,3,2,21,103
0,0,0,0,28,541,KHAMMAM,2,4,43,103
0,0,0,0,28,541,KHAMMAM,2,3,31,103
0,0,0,0,28,541,KHAMMAM,2,5,51,103
0,0,0,0,28,541,KHAMMAM,2,5,52,103
0,0,0,0,28,541,KHAMMAM,2,4,42,103
37,0,15,15,28,541,KHAMMAM,2,1,11,103
0,0,0,0,28,541,KHAMMAM,2,3,32,103
0,0,0,0,28,541,KHAMMAM,2,2,21,103
0,0,0,0,28,541,KHAMMAM,2,4,41,103
0,0,0,0,28,541,KHAMMAM,2,1,12,103
0,0,0,0,28,541,KHAMMAM,2,4,43,606
41,90,0,90,28,541,KHAMMAM,3,4,41,606
0,0,0,0,28,541,KHAMMAM,1,3,32,606
41,57,0,57,28,541,KHAMMAM,3,3,32,606
22,16,0,16,28,541,KHAMMAM,1,1,12,606
0,0,0,0,28,541,KHAMMAM,2,5,51,606
37,35,0,35,28,541,KHAMMAM,2,3,32,606
0,0,0,0,28,541,KHAMMAM,3,5,51,606
82,33,0,33,28,541,KHAMMAM,3,1,11,606
0,0,0,0,28,541,KHAMMAM,1,4,41,606
187,122,0,122,28,541,KHAMMAM,3,1,12,606
0,0,0,0,28,541,KHAMMAM,1,4,42,606
0,0,0,0,28,541,KHAMMAM,1,4,43,606
0,0,0,0,28,541,KHAMMAM,1,3,31,606
0,0,0,0,28,541,KHAMMAM,2,4,42,606
133,152,0,152,28,541,KHAMMAM,2,2,21,606
0,0,0,0,28,541,KHAMMAM,1,5,51,606
0,0,0,0,28,541,KHAMMAM,2,1,11,606
177,224,0,224,28,541,KHAMMAM,3,3,31,606
0,0,0,0,28,541,KHAMMAM,3,5,52,606
0,0,0,0,28,541,KHAMMAM,1,1,11,606
0,0,0,0,28,541,KHAMMAM,1,5,52,606
167,159,0,159,28,541,KHAMMAM,2,3,31,606
33,18,0,18,28,541,KHAMMAM,2,4,41,606
0,0,0,0,28,541,KHAMMAM,1,2,21,606
5,27,0,27,28,541,KHAMMAM,3,4,42,606
0,0,0,0,28,541,KHAMMAM,3,4,43,606
27,17,0,17,28,541,KHAMMAM,2,1,12,606
0,0,0,0,28,541,KHAMMAM,2,5,52,606
100,127,0,127,28,541,KHAMMAM,3,2,21,606
0,0,0,0,28,535,MEDAK,1,3,31,606
0,0,0,0,28,535,MEDAK,1,5,51,606
7,6,0,6,28,535,MEDAK,3,1,12,606
0,0,0,0,28,535,MEDAK,3,5,52,606
22,27,0,27,28,535,MEDAK,3,3,32,606
0,0,0,0,28,534,KARIMNAGAR,3,4,43,606
0,0,0,0,28,534,KARIMNAGAR,3,4,41,606
0,0,0,0,28,534,KARIMNAGAR,3,4,42,606
29,14,0,14,28,535,MEDAK,3,2,21,606
0,0,0,0,28,535,MEDAK,3,4,41,606
0,0,0,0,28,535,MEDAK,1,2,21,606
0,0,0,0,28,535,MEDAK,1,1,12,606
0,0,0,0,28,534,KARIMNAGAR,3,1,11,606
0,0,0,0,28,535,MEDAK,1,5,52,606
0,0,0,0,28,535,MEDAK,1,1,11,606
0,0,0,0,28,535,MEDAK,3,5,51,606
0,0,0,0,28,535,MEDAK,3,4,43,606
0,0,0,0,28,535,MEDAK,3,1,11,606
0,0,0,0,28,535,MEDAK,1,4,42,606
0,0,0,0,28,535,MEDAK,3,4,42,606
0,0,0,0,28,534,KARIMNAGAR,3,5,51,606
0,0,0,0,28,535,MEDAK,1,4,41,606
0,0,0,0,28,534,KARIMNAGAR,3,3,32,606
0,0,0,0,28,534,KARIMNAGAR,3,1,12,606
0,0,0,0,28,534,KARIMNAGAR,3,3,31,606
12,15,0,15,28,535,MEDAK,3,3,31,606
0,0,0,0,28,534,KARIMNAGAR,3,5,52,606
7,5,0,5,28,535,MEDAK,1,3,32,606
0,0,0,0,28,535,MEDAK,1,4,43,606
6,8,0,8,28,534,KARIMNAGAR,3,2,21,606
3,1,0,1,28,537,RANGAREDDY,3,5,51,606
0,0,0,0,28,537,RANGAREDDY,3,5,52,606
4,4,0,4,28,537,RANGAREDDY,2,3,31,606
0,0,0,0,28,537,RANGAREDDY,2,4,43,606
0,0,0,0,28,537,RANGAREDDY,2,5,51,606
4,4,0,4,28,537,RANGAREDDY,3,4,41,606
0,0,0,0,28,537,RANGAREDDY,1,5,52,606
0,0,0,0,28,537,RANGAREDDY,2,5,52,606
0,0,0,0,28,537,RANGAREDDY,2,2,21,606
0,0,0,0,28,537,RANGAREDDY,1,3,32,606
14,5,1,5,28,537,RANGAREDDY,3,3,31,606
0,0,0,0,28,537,RANGAREDDY,1,4,42,606
0,0,0,0,28,537,RANGAREDDY,2,4,41,606
0,0,0,0,28,537,RANGAREDDY,2,4,42,606
3,3,0,3,28,537,RANGAREDDY,3,4,43,606
0,0,0,0,28,537,RANGAREDDY,1,3,31,606
0,0,0,0,28,537,RANGAREDDY,1,1,11,606
0,0,0,0,28,537,RANGAREDDY,2,1,11,606
0,0,0,0,28,537,RANGAREDDY,1,4,43,606
0,0,0,0,28,537,RANGAREDDY,1,5,51,606
20,12,0,12,28,537,RANGAREDDY,3,4,42,606
0,0,0,0,28,537,RANGAREDDY,3,3,32,606
43,43,0,43,28,537,RANGAREDDY,3,2,21,606
0,0,0,0,28,537,RANGAREDDY,1,1,12,606
5,4,0,4,28,537,RANGAREDDY,1,2,21,606
5,2,0,2,28,537,RANGAREDDY,3,1,11,606
0,0,0,0,28,537,RANGAREDDY,1,4,41,606
13,7,0,7,28,537,RANGAREDDY,3,1,12,606
0,0,0,0,28,537,RANGAREDDY,2,3,32,606
5,3,0,3,28,537,RANGAREDDY,2,1,12,606
0,0,0,0,28,540,WARANGAL,3,1,11,606
47,27,0,27,28,540,WARANGAL,3,3,32,606
69,33,0,33,28,540,WARANGAL,3,3,31,606
0,0,0,0,28,540,WARANGAL,3,5,51,606
8,5,0,5,28,540,WARANGAL,3,4,41,606
38,20,0,20,28,540,WARANGAL,3,2,21,606
0,0,0,0,28,540,WARANGAL,3,4,42,606
0,0,0,0,28,540,WARANGAL,3,4,43,606
6,5,0,5,28,540,WARANGAL,3,1,12,606
0,0,0,0,28,540,WARANGAL,3,5,52,606
0,0,0,0,28,539,NALGONDA,3,5,51,606
0,0,0,0,28,539,NALGONDA,1,3,32,606
0,0,0,0,28,539,NALGONDA,1,5,52,606
0,0,0,0,28,539,NALGONDA,1,4,41,606
0,0,0,0,28,539,NALGONDA,1,5,51,606
0,0,0,0,28,539,NALGONDA,3,3,31,606
13,19,0,19,28,539,NALGONDA,3,2,21,606
5,3,0,3,28,539,NALGONDA,3,1,12,606
3,3,0,3,28,539,NALGONDA,1,2,21,606
0,0,0,0,28,539,NALGONDA,3,4,43,606
31,13,0,13,28,539,NALGONDA,3,1,11,606
