district_code,state_code,year,rainfall,rainfall_anom
6,1,2005,650.2953066,-48.23864176
6,1,2006,1826.27952,45.36581692
6,1,2007,1058.835589,-15.72018486
6,1,2008,1373.354739,9.314500487
6,1,2009,1027.656285,-18.20195446
6,1,2010,1314.841119,4.657009622
10,1,1981,834.924074,-4.808710897
10,1,1982,821.0943727,-6.385461569
10,1,1983,1115.350685,27.16326288
10,1,1984,875.5372052,-0.178330192
10,1,1985,718.9530245,-18.03079185
10,1,1986,1151.689158,31.3062816
10,1,1987,967.298117,10.2835067
10,1,1988,1008.260481,14.95370404
10,1,1989,902.7677307,2.926274051
10,1,1990,1054.188229,20.19001444
10,1,1991,1014.978088,15.71959127
10,1,1992,1184.729932,35.07332342
10,1,1993,920.4162892,4.938419925
10,1,1994,1105.976479,26.09449173
10,1,1995,1046.255863,19.28563016
10,1,1996,1148.687598,30.96406803
10,1,1997,824.1709917,-6.034690355
10,1,1998,761.7165766,-13.15523756
10,1,1999,568.7586444,-35.15474013
10,1,2000,553.4227647,-36.90321308
10,1,2001,609.3914526,-30.52211603
10,1,2002,716.2835024,-18.33514917
10,1,2003,1030.956715,17.54134508
10,1,2004,766.8926624,-12.56510213
10,1,2005,509.3930424,-41.92312585
10,1,2006,1228.373392,40.04919772
10,1,2007,635.3400964,-27.56366156
10,1,2008,781.1626735,-10.93815089
10,1,2009,670.5399958,-23.55045377
10,1,2010,785.5304177,-10.44017603
19,1,1981,1424.319391,8.036465316
19,1,1982,1480.381486,12.28884767
19,1,1983,1440.217883,9.242386522
19,1,1984,1007.002563,-23.61755505
19,1,1985,1211.369482,-8.116060287
19,1,1986,1546.809988,17.32753531
19,1,1987,1263.674356,-4.148668041
19,1,1988,1893.754983,43.64376131
19,1,1989,1061.643629,-19.47295964
19,1,1990,1685.249799,27.82837377
19,1,1991,1422.935328,7.93148235
19,1,1992,1108.817264,-15.89477846
19,1,1993,1285.374587,-2.50267748
19,1,1994,1530.067829,16.05762092
19,1,1995,1561.501422,18.44189954
19,1,1996,1467.146466,11.28495432
19,1,1997,1556.591463,18.06947283
19,1,1998,1369.755078,3.897691759
19,1,1999,942.6173176,-28.50125904
19,1,2000,1046.980308,-20.58519147
19,1,2001,988.6021127,-25.01325295
19,1,2002,966.0350593,-26.7249931
19,1,2003,1340.160421,1.652898795
19,1,2004,1133.073666,-14.05489905
19,1,2005,1407.81448,6.784546557
19,1,2006,1627.460936,23.44501394
19,1,2007,1021.421405,-22.52386725
19,1,2008,1396.232069,5.906005718
19,1,2009,1166.352661,-11.53064428
