state_code,dist_code,district,year,projcode,finan_outlay,num_proj
28,541,KHAMMAM,2012-13,ANHB,4.2903,7
28,541,KHAMMAM,2012-13,DDEV,2.3,1
28,541,KHAMMAM,2012-13,FISH,0.1019,2
28,541,KHAMMAM,2012-13,MRKT,3,1
28,541,KHAMMAM,2012-13,NRM,1.111,1
28,541,KHAMMAM,2012-13,ORFM,0.45,1
28,541,KHAMMAM,2012-13,SEED,0.8474,1
28,541,KHAMMAM,2012-13,SERI,0.1353,3
28,541,KHAMMAM,2014-15,AMEC,4.465,14
28,541,KHAMMAM,2014-15,ANHB,1.1653,2
28,541,KHAMMAM,2014-15,DDEV,0.1803,1
28,541,KHAMMAM,2014-15,HORT,1.6188,9
28,541,KHAMMAM,2014-15,IRRI,0.18,1
28,541,KHAMMAM,2014-15,MRKT,0.184,1
28,541,KHAMMAM,2014-15,NONF,0.025,1
28,541,KHAMMAM,2014-15,ORFM,0.5453,10
28,541,KHAMMAM,2014-15,OTHR,0.055,1
