"state_code","district_code","social_group","size_class","holding_no","holding_ar","holding_whly.owned_self.operatd_no","holding_whly.owned_self.operatd_ar","holding_whly_leased.in_no","holding_whly_leased.in_ar","holding_whly.operatd_no","holding_whly.operatd_ar","holding_partly.ownd_leased.in_operatd_no","holding_partly.ownd_leased.in_operatd_ownd.ar","holding_partly.ownd_leased.in_operatd_leasdin.ar","holding_partly.ownd_leased.in_operatd_operatd.ar","holding_partly.ownd_leased.in_operatd_tot.ar"
37,533,2,99,38982,33612,38982,33612,0,0,0,0,0,0,0,0,0
37,534,2,99,19332,16651,19327,16649,5,2,0,0,0,0,0,0,0
37,535,2,99,35100,36362,35100,36362,0,0,0,0,0,0,0,0,0
36,537,2,99,29498,32328,29465,32261,0,0,33,67,0,0,0,0,0
37,538,2,99,90948,97770,90948,97770,0,0,0,0,0,0,0,0,0
37,539,2,99,84584,84019,84554,83963,7,8,9,13,14,31,4,0,35
37,540,2,99,106316,102576,105975,102399,227,126,0,0,114,22,30,0,51
37,541,2,99,156327,180118,155338,178225,508,453,0,0,481,835,499,106,1439
36,542,2,99,36050,26845,36008,26813,0,0,42,32,0,0,0,0,0
36,543,2,99,39185,36850,38986,36624,104,75,0,0,95,94,57,0,152
36,544,2,99,108507,174416,107979,173571,41,39,5,4,482,596,179,26,802
36,545,2,99,43952,81435,43952,81435,0,0,0,0,0,0,0,0,0
36,546,2,99,20810,24157,20801,24144,2,8,0,0,7,3,2,0,5
36,547,2,99,12631,9287,12422,9100,161,106,0,0,48,48,27,6,81
36,548,2,99,21028,18891,21027,18884,0,0,0,0,1,5,1,0,7
36,549,2,99,13818,12384,13814,12383,0,0,4,1,0,0,0,0,0
36,550,2,99,24706,14318,24666,14271,10,5,8,15,22,15,7,5,27
36,551,2,99,8527,7573,8527,7573,0,0,0,0,0,0,0,0,0
36,552,2,99,12331,16423,12324,16409,5,11,0,0,2,2,1,0,3
36,553,2,99,29469,42531,29469,42531,0,0,0,0,0,0,0,0,0
36,554,2,99,16039,12322,16029,12313,9,6,0,0,1,2,1,0,3
37,532,99,99,519995,728579,518247,724860,1460,3126,52,94,236,323,177,0,500
37,533,99,99,473528,434476,473422,434340,83,117,0,0,23,14,5,0,18
37,534,99,99,662345,638690,661362,637199,461,473,18,12,504,560,446,0,1006
37,535,99,99,684543,662932,684525,662917,7,1,11,13,0,0,0,0,0
36,537,99,99,342671,419634,342555,419426,55,119,61,89,0,0,0,0,0
37,538,99,99,982314,1204862,982272,1204770,22,50,0,0,20,35,3,5,42
37,539,99,99,757188,904236,756887,903793,65,92,54,65,182,199,87,0,286
37,540,99,99,663061,667311,661137,665751,1460,1214,16,19,448,163,165,0,328
37,541,99,99,468337,536105,463862,525954,2713,3819,10,21,1752,3714,2266,333,6312
36,542,99,99,525870,349412,525128,347970,84,33,42,32,616,988,389,0,1377
36,543,99,99,446841,342484,438005,331327,4170,2130,22,6,4644,5948,3052,21,9021
36,544,99,99,474738,400083,464580,391828,1534,497,1653,504,6971,5347,1255,653,7255
36,545,99,99,698714,501366,696314,499127,1131,846,192,28,1077,821,543,2,1365
36,546,99,99,565831,470051,564922,469041,336,442,40,70,533,236,207,54,497
36,547,99,99,551567,508413,525307,468106,16439,18102,340,75,9481,13544,8578,6,22128
36,548,99,99,760648,701404,760273,698893,23,39,0,0,352,1859,614,0,2472
