"state_code","district_code","social_group","size_class","holding_no","holding_ar","gca_irrigated","gca_unirrigated","gca_total"
36,552,1,11,21154,6841,3297,3684,6981
36,553,1,11,15192,4823,696,3605,4302
36,554,1,11,48943,12497,4409,4250,8658
37,532,3,11,97929,25117,6790,16043,22833
37,533,3,11,143661,38735,33315,14075,47390
37,534,3,11,212595,55466,40089,14147,54236
37,535,3,11,224181,54025,14594,27146,41740
36,537,3,11,78342,22304,5157,6272,11429
37,538,3,11,242235,61655,12610,32673,45283
37,539,3,11,182175,49350,30735,11361,42097
37,540,3,11,192585,47874,29271,14983,44254
37,541,3,11,92362,26551,18677,9709,28386
36,542,3,11,270668,63781,47664,35327,82990
36,543,3,11,213638,48037,29308,27928,57236
36,544,3,11,219266,51993,34832,20458,55290
36,545,3,11,360241,89144,111917,29797,141714
36,546,3,11,257762,69196,109019,2982,112001
36,547,3,11,215688,61230,60677,34612,95289
36,548,3,11,283640,84223,69467,40575,110041
36,549,3,11,175366,50662,14933,31379,46312
36,550,3,11,130240,34378,32738,4055,36793
36,551,3,11,105204,29988,16380,9022,25403
36,552,3,11,99234,31717,14577,17441,32019
36,553,3,11,88872,27405,4801,19434,24236
36,554,3,11,222355,57027,16933,20937,37870
37,532,2,11,18221,5142,826,3774,4601
37,533,2,11,13086,4026,3916,1354,5270
37,534,2,11,7879,2178,1164,776,1940
37,535,2,11,10735,3088,839,1592,2431
36,537,2,11,8541,2593,686,1053,1739
37,538,2,11,29640,8141,1422,4376,5798
37,539,2,11,29377,8601,5139,1787,6925
37,540,2,11,41606,11120,6567,4211,10777
37,541,2,11,51817,15218,6092,8939,15031
36,542,2,11,17337,4479,1682,2518,4201
36,543,2,11,16594,4372,985,3364,4349
36,544,2,11,29040,7853,2928,4824,7751
36,545,2,11,10200,2756,1598,1138,2736
36,546,2,11,8225,2367,1896,692,2588
36,547,2,11,6829,1945,1298,817,2116
36,548,2,11,8164,2447,1814,969,2783
36,549,2,11,5743,1724,553,893,1445
36,550,2,11,15233,4040,3722,525,4247
36,551,2,11,2865,833,360,206,566
36,552,2,11,2865,921,399,497,895
36,553,2,11,4431,1429,146,1106,1252
36,554,2,11,7092,2022,675,623,1298
37,532,99,11,144024,37457,9185,24577,33762
37,533,99,11,189151,51936,45837,18732,64569
37,534,99,11,274368,71226,50901,18683,69584
37,535,99,11,289341,70477,18376,36431,54807
