"state_code","district_code","year","crop_code","season","area","prodn","yield"
28,533,2011,103,1,37,23,0.621621622
28,538,2003,103,1,11501,6671,0.580036519
28,539,2004,103,1,11005,2201,0.2
28,532,2005,103,2,779,494,0.634146341
28,535,2010,103,1,406,294,0.724137931
28,538,2001,103,1,17952,8617,0.480002228
28,532,2008,103,2,350,222,0.634285714
28,534,2005,103,2,2,1,0.5
28,533,2001,103,2,5605,2618,0.467082962
28,541,2003,103,2,61,37,0.606557377
28,539,2001,103,2,24,11,0.458333333
28,539,2004,103,2,82,16,0.195121951
28,533,2006,103,2,7845,2769,0.352963671
28,533,2002,103,2,4503,2134,0.473906285
28,538,2006,103,1,6344,2417,0.380989912
28,532,2009,103,2,831,402,0.483754513
28,539,2001,103,1,9786,4325,0.441957899
28,541,2002,103,1,292,138,0.47260274
28,539,2010,103,1,2158,1517,0.702965709
28,535,2003,606,6,121,1694,14
28,535,2002,606,6,297,7248,24.4040404
28,532,2009,606,6,188,5668,30.14893617
28,535,2004,606,6,48,1188,24.75
28,539,2002,606,6,3,73,24.33333333
28,535,2006,606,6,525,12780,24.34285714
28,533,2006,606,6,109,2653,24.33944954
28,541,2004,606,6,935,23134,24.74224599
28,534,2001,606,6,1,NA,NA
28,539,2006,606,6,1,24,24
28,533,2009,606,6,150,4522,30.14666667
28,541,2009,606,6,538,16220,30.14869888
28,535,2009,606,6,798,24058,30.14786967
28,541,2002,606,6,735,17937,24.40408163
28,533,2004,606,6,392,9699,24.74234694
28,533,2008,606,6,241,6137,25.46473029
28,539,2005,606,6,1,21,21
28,539,2001,606,6,9,NA,NA
28,537,2006,606,6,83,2020,24.3373494
28,541,2001,606,6,673,13682,20.32986627
28,533,2005,606,6,83,1735,20.90361446
28,541,2010,606,6,1020,33270,32.61764706
28,535,2001,606,6,527,2160,4.098671727
28,532,2006,606,6,41,998,24.34146341
28,537,2002,606,6,204,4978,24.40196078
28,539,2004,606,6,1,25,25
28,532,2010,606,6,6,196,32.66666667
28,539,2011,606,6,5,186,37.2
28,538,2001,606,6,12,NA,NA
28,541,2006,606,6,983,23929,24.34282808
28,535,2010,606,6,727,23713,32.6176066
28,533,2010,606,6,138,4501,32.61594203
28,533,2001,606,6,398,2070,5.201005025
28,541,2003,606,6,859,12028,14.00232829
28,535,2011,606,6,381,14161,37.167979
28,533,2002,606,6,405,9884,24.40493827
28,532,2002,606,6,13,317,24.38461538
28,533,2003,606,6,360,5041,14.00277778
28,534,2006,606,6,16,389,24.3125
28,534,2005,606,6,33,690,20.90909091
28,537,2003,606,6,86,1204,14
28,533,2011,606,6,178,6616,37.16853933
28,532,2004,606,6,71,1757,24.74647887
28,539,2009,606,6,3,90,30
28,537,2005,606,6,40,836,20.9
28,537,2011,606,6,49,1821,37.16326531
28,537,2008,606,6,34,866,25.47058824
28,532,2003,606,6,110,1540,14
28,534,2004,606,6,12,297,24.75
28,532,2001,606,6,225,5063,22.50222222
28,535,2005,606,6,4,84,21
28,541,2005,606,6,497,NA,NA
28,534,2002,606,6,9,220,24.44444444
