"state_code","district_code","social_group","size_class","holding_no","holding_ar","holding_whly_irri_no","holding_whly_irri_ar","holding_whly_rain_no","holding_whly_rain_ar","holding_prtly_irri_no","holding_prtly_irri_tot.ar","holding_prtly_irri_irri.ar","holding_recve_irri_no","holding_recve_irri_irri.ar"
36,547,"ALL SOCIAL GROUPS","ALL CLASSES",551567,508413,402906,324371,127005,135549,15750,36551,16066,418656,340438
36,548,"ALL SOCIAL GROUPS","ALL CLASSES",760648,701404,490125,418976,221927,194947,15964,33035,18355,506089,437331
36,549,"ALL SOCIAL GROUPS","ALL CLASSES",670553,847508,172778,154809,405723,424384,44657,105398,45042,217435,199851
36,550,"ALL SOCIAL GROUPS","ALL CLASSES",457015,478919,337939,272739,68767,94199,10400,18828,8609,348339,281348
36,551,"ALL SOCIAL GROUPS","ALL CLASSES",441306,542399,163214,132272,161398,215289,25537,51028,21337,188751,153609
36,552,"ALL SOCIAL GROUPS","ALL CLASSES",632902,1050086,160606,188544,406206,655513,35657,106422,40909,196263,229453
36,553,"ALL SOCIAL GROUPS","ALL CLASSES",727951,1278010,65853,91260,544062,846665,76946,194477,73156,142799,164416
36,554,"ALL SOCIAL GROUPS","ALL CLASSES",667182,626306,176303,120530,258971,171442,80089,117932,57102,256392,177632
37,532,"INSTITUTIONAL","20.0 & ABOVE",6,392,3,61,3,136,0,0,0,3,61
37,533,"INSTITUTIONAL","20.0 & ABOVE",10,526,10,263,0,0,0,0,0,10,263
37,534,"INSTITUTIONAL","20.0 & ABOVE",4,268,2,93,0,0,2,25,13,4,106
37,535,"INSTITUTIONAL","20.0 & ABOVE",16,2011,8,813,8,263,0,0,0,8,813
36,537,"INSTITUTIONAL","20.0 & ABOVE",10,318,6,86,3,32,0,0,0,6,86
37,538,"INSTITUTIONAL","20.0 & ABOVE",4,377,0,0,4,189,0,0,0,0,0
37,539,"INSTITUTIONAL","20.0 & ABOVE",30,1778,8,284,7,253,14,105,73,22,358
37,540,"INSTITUTIONAL","20.0 & ABOVE",1,65,0,0,1,33,0,0,0,0,0
37,541,"INSTITUTIONAL","20.0 & ABOVE",12,1510,6,211,3,226,3,108,23,9,234
36,542,"INSTITUTIONAL","20.0 & ABOVE",41,2149,16,393,6,245,15,594,272,31,664
36,543,"INSTITUTIONAL","20.0 & ABOVE",17,757,6,118,0,0,8,257,51,14,170
36,544,"INSTITUTIONAL","20.0 & ABOVE",10,867,3,286,7,295,0,0,0,3,286
36,545,"INSTITUTIONAL","20.0 & ABOVE",43,1973,27,831,13,419,3,72,37,30,868
36,546,"INSTITUTIONAL","20.0 & ABOVE",26,911,24,519,0,0,0,0,0,24,519
36,547,"INSTITUTIONAL","20.0 & ABOVE",3,92,0,0,2,22,0,0,0,0,0
36,548,"INSTITUTIONAL","20.0 & ABOVE",72,4341,50,2267,18,587,4,240,222,54,2489
36,549,"INSTITUTIONAL","20.0 & ABOVE",31,1347,4,73,22,372,4,191,24,8,97
36,550,"INSTITUTIONAL","20.0 & ABOVE",78,4446,44,1203,28,1168,4,94,46,48,1249
36,551,"INSTITUTIONAL","20.0 & ABOVE",5,581,5,291,0,0,0,0,0,5,291
36,552,"INSTITUTIONAL","20.0 & ABOVE",15,1354,3,48,12,685,0,0,0,3,48
36,553,"INSTITUTIONAL","20.0 & ABOVE",42,2714,1,14,39,1406,0,0,0,1,14
36,554,"INSTITUTIONAL","20.0 & ABOVE",16,1953,5,662,8,211,2,10,3,7,665
37,532,"SCHEDULED CASTE","20.0 & ABOVE",17,599,1,21,15,471,0,0,0,1,21
37,533,"SCHEDULED CASTE","20.0 & ABOVE",0,0,0,0,0,0,0,0,0,0,0
37,534,"SCHEDULED CASTE","20.0 & ABOVE",8,200,4,54,4,46,0,0,0,4,54
37,535,"SCHEDULED CASTE","20.0 & ABOVE",6,221,0,0,5,168,1,20,2,1,2
36,537,"SCHEDULED CASTE","20.0 & ABOVE",8,242,1,12,7,77,0,0,0,1,12
37,538,"SCHEDULED CASTE","20.0 & ABOVE",18,660,2,32,16,386,0,0,0,2,32
37,539,"SCHEDULED CASTE","20.0 & ABOVE",3,89,2,34,0,0,0,0,0,2,34
37,540,"SCHEDULED CASTE","20.0 & ABOVE",36,1502,13,302,20,605,3,46,31,16,334
37,541,"SCHEDULED CASTE","20.0 & ABOVE",4,173,3,62,1,25,0,0,0,3,62
36,542,"SCHEDULED CASTE","20.0 & ABOVE",1,43,1,21,0,0,0,0,0,1,21
36,543,"SCHEDULED CASTE","20.0 & ABOVE",0,0,0,0,0,0,0,0,0,0,0
36,544,"SCHEDULED CASTE","20.0 & ABOVE",0,0,0,0,0,0,0,0,0,0,0
36,545,"SCHEDULED CASTE","20.0 & ABOVE",2,41,2,21,0,0,0,0,0,2,21
36,546,"SCHEDULED CASTE","20.0 & ABOVE",2,62,1,14,1,18,0,0,0,1,14
36,547,"SCHEDULED CASTE","20.0 & ABOVE",10,298,6,86,4,63,0,0,0,6,86
36,548,"SCHEDULED CASTE","20.0 & ABOVE",7,147,7,74,0,0,0,0,0,7,74
36,549,"SCHEDULED CASTE","20.0 & ABOVE",6,183,2,31,4,60,0,0,0,2,31
36,550,"SCHEDULED CASTE","20.0 & ABOVE",1,27,1,14,0,0,0,0,0,1,14
36,551,"SCHEDULED CASTE","20.0 & ABOVE",1,24,0,0,1,12,0,0,0,0,0
36,552,"SCHEDULED CASTE","20.0 & ABOVE",9,351,2,23,7,192,0,0,0,2,23
36,553,"SCHEDULED CASTE","20.0 & ABOVE",11,286,0,0,11,143,0,0,0,0,0
36,554,"SCHEDULED CASTE","20.0 & ABOVE",9,314,4,86,5,100,0,0,0,4,86
37,532,"OTHERS","20.0 & ABOVE",234,8200,7,157,158,3998,25,605,208,32,364
37,533,"OTHERS","20.0 & ABOVE",35,999,12,187,13,155,6,77,49,18,236
37,534,"OTHERS","20.0 & ABOVE",131,4390,94,1754,17,317,11,139,85,105,1839
37,535,"OTHERS","20.0 & ABOVE",215,6419,44,883,128,2373,37,515,193,81,1076
36,537,"OTHERS","20.0 & ABOVE",149,4313,58,575,40,441,36,568,97,94,672
37,538,"OTHERS","20.0 & ABOVE",341,10275,70,981,137,2085,89,1263,366,159,1347
37,539,"OTHERS","20.0 & ABOVE",159,5109,51,856,30,433,69,1194,385,120,1241
37,540,"OTHERS","20.0 & ABOVE",287,9234,57,1062,143,4610,52,615,371,109,1433
37,541,"OTHERS","20.0 & ABOVE",159,6578,46,1280,35,667,69,2968,382,115,1663
36,542,"OTHERS","20.0 & ABOVE",57,2182,46,1006,11,203,0,0,0,46,1006
36,543,"OTHERS","20.0 & ABOVE",79,2539,45,674,20,426,14,269,80,59,755
36,544,"OTHERS","20.0 & ABOVE",31,942,20,427,9,130,2,47,24,22,451
36,545,"OTHERS","20.0 & ABOVE",64,1887,42,589,17,358,5,123,6,47,595
36,546,"OTHERS","20.0 & ABOVE",48,1659,36,724,6,118,6,346,192,42,916
36,547,"OTHERS","20.0 & ABOVE",59,1884,27,410,13,233,15,505,278,42,688
36,548,"OTHERS","20.0 & ABOVE",38,1206,25,374,13,229,0,0,0,25,374
36,549,"OTHERS","20.0 & ABOVE",151,4347,19,256,94,1279,35,606,194,54,450
36,550,"OTHERS","20.0 & ABOVE",157,4883,57,1040,39,918,26,476,298,83,1338
36,551,"OTHERS","20.0 & ABOVE",43,1709,11,271,30,482,2,39,32,13,303
36,552,"OTHERS","20.0 & ABOVE",235,8707,39,561,152,4570,44,1027,311,83,872
36,553,"OTHERS","20.0 & ABOVE",367,11401,10,146,216,5453,138,3071,1047,148,1193
36,554,"OTHERS","20.0 & ABOVE",123,3571,15,239,79,1175,26,309,88,41,327
37,532,"SCHEDULED TRIBES","20.0 & ABOVE",93,2715,1,12,38,585,1,21,4,2,16
37,533,"SCHEDULED TRIBES","20.0 & ABOVE",2,67,2,33,0,0,0,0,0,2,33
37,534,"SCHEDULED TRIBES","20.0 & ABOVE",3,92,2,25,1,21,0,0,0,2,25
37,535,"SCHEDULED TRIBES","20.0 & ABOVE",3,113,0,0,3,57,0,0,0,0,0
36,537,"SCHEDULED TRIBES","20.0 & ABOVE",8,253,1,22,5,75,1,16,4,2,26
37,538,"SCHEDULED TRIBES","20.0 & ABOVE",16,622,5,137,9,146,0,0,0,5,137
37,539,"SCHEDULED TRIBES","20.0 & ABOVE",3,89,0,0,2,10,1,30,1,1,1
37,540,"SCHEDULED TRIBES","20.0 & ABOVE",23,627,8,130,15,294,0,0,0,8,130
37,541,"SCHEDULED TRIBES","20.0 & ABOVE",37,999,28,383,8,113,1,23,14,29,397
36,542,"SCHEDULED TRIBES","20.0 & ABOVE",1,21,0,0,1,10,0,0,0,0,0
36,543,"SCHEDULED TRIBES","20.0 & ABOVE",3,67,0,0,2,23,1,20,6,1,6
36,544,"SCHEDULED TRIBES","20.0 & ABOVE",42,1049,7,131,25,357,10,77,9,17,140
36,545,"SCHEDULED TRIBES","20.0 & ABOVE",25,664,7,128,6,60,12,58,16,19,144
36,546,"SCHEDULED TRIBES","20.0 & ABOVE",4,406,4,338,0,0,0,0,0,4,338
36,547,"SCHEDULED TRIBES","20.0 & ABOVE",0,0,0,0,0,0,0,0,0,0,0
36,548,"SCHEDULED TRIBES","20.0 & ABOVE",0,0,0,0,0,0,0,0,0,0,0
36,549,"SCHEDULED TRIBES","20.0 & ABOVE",0,0,0,0,0,0,0,0,0,0,0
36,550,"SCHEDULED TRIBES","20.0 & ABOVE",2,63,2,31,0,0,0,0,0,2,31
36,551,"SCHEDULED TRIBES","20.0 & ABOVE",1,41,0,0,0,0,0,0,0,0,0
36,552,"SCHEDULED TRIBES","20.0 & ABOVE",2,58,0,0,2,29,0,0,0,0,0
36,553,"SCHEDULED TRIBES","20.0 & ABOVE",4,103,0,0,3,53,1,22,10,1,10
36,554,"SCHEDULED TRIBES","20.0 & ABOVE",0,0,0,0,0,0,0,0,0,0,0
37,532,"ALL SOCIAL GROUPS","20.0 & ABOVE",350,11906,12,251,214,5190,26,626,212,38,462
37,533,"ALL SOCIAL GROUPS","20.0 & ABOVE",47,1591,24,483,13,155,6,77,49,30,532
37,534,"ALL SOCIAL GROUPS","20.0 & ABOVE",146,4950,102,1925,22,384,13,165,99,115,2024
