state_code,district_code,social_group_code,class_category_code,noh_individual,auh_individual,noh_joint,auh_joint,noh_total,auh_total,no_tehsils
28.0,539.0,2.0,2.0,21196.0,29225.0,1.0,2.0,21197.0,29226.0,59.0
28.0,539.0,2.0,3.0,7619.0,19691.0,0.0,0.0,7619.0,19691.0,118.0
28.0,539.0,2.0,4.0,1415.0,7615.0,0.0,0.0,1415.0,7615.0,177.0
28.0,539.0,2.0,5.0,42.0,565.0,0.0,0.0,42.0,565.0,118.0
28.0,539.0,3.0,1.0,323672.0,153974.0,26.0,13.0,323698.0,153990.0,118.0
28.0,539.0,3.0,2.0,155284.0,220936.0,21.0,29.0,155305.0,220964.0,59.0
28.0,539.0,3.0,3.0,79554.0,212926.0,10.0,27.0,79564.0,212953.0,118.0
28.0,539.0,3.0,4.0,24685.0,137543.0,9.0,62.0,24694.0,137605.0,177.0
28.0,539.0,3.0,5.0,2078.0,28968.0,5.0,328.0,2083.0,29296.0,118.0
28.0,539.0,4.0,1.0,0.0,0.0,0.0,0.0,32.0,10.0,118.0
28.0,539.0,4.0,2.0,0.0,0.0,0.0,0.0,16.0,22.0,59.0
28.0,539.0,4.0,3.0,0.0,0.0,0.0,0.0,21.0,60.0,118.0
28.0,539.0,4.0,4.0,0.0,0.0,0.0,0.0,23.0,163.0,177.0
28.0,539.0,4.0,5.0,0.0,0.0,0.0,0.0,43.0,1979.0,118.0
28.0,540.0,1.0,1.0,66087.0,25570.0,0.0,0.0,66087.0,25570.0,102.0
28.0,540.0,1.0,2.0,11507.0,15696.0,0.0,0.0,11507.0,15696.0,51.0
28.0,540.0,1.0,3.0,3475.0,9094.0,0.0,0.0,3475.0,9094.0,102.0
28.0,540.0,1.0,4.0,1046.0,5708.0,0.0,0.0,1046.0,5708.0,153.0
28.0,540.0,1.0,5.0,97.0,2275.0,0.0,0.0,97.0,2275.0,102.0
28.0,540.0,2.0,1.0,69605.0,32356.0,0.0,0.0,69605.0,32356.0,102.0
28.0,540.0,2.0,2.0,24132.0,33232.0,0.0,0.0,24132.0,33232.0,51.0
28.0,540.0,2.0,3.0,7899.0,20612.0,0.0,0.0,7899.0,20612.0,102.0
28.0,540.0,2.0,4.0,2130.0,11761.0,0.0,0.0,2130.0,11761.0,153.0
28.0,540.0,2.0,5.0,192.0,2869.0,0.0,0.0,192.0,2869.0,102.0
28.0,540.0,3.0,1.0,307437.0,132239.0,0.0,0.0,307437.0,132239.0,102.0
28.0,540.0,3.0,2.0,105740.0,148796.0,0.0,0.0,105740.0,148796.0,51.0
28.0,540.0,3.0,3.0,45920.0,121920.0,0.0,0.0,45920.0,121920.0,102.0
28.0,540.0,3.0,4.0,13865.0,77410.0,0.0,0.0,13865.0,77410.0,153.0
28.0,540.0,3.0,5.0,1564.0,25944.0,0.0,0.0,1564.0,25944.0,102.0
28.0,540.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,102.0
28.0,540.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0
28.0,540.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,102.0
28.0,540.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,153.0
28.0,540.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,65.0,102.0
28.0,541.0,1.0,1.0,36353.0,14159.0,0.0,0.0,36353.0,14159.0,92.0
28.0,541.0,1.0,2.0,5748.0,7800.0,0.0,0.0,5748.0,7800.0,46.0
28.0,541.0,1.0,3.0,1981.0,4981.0,0.0,0.0,1981.0,4981.0,92.0
28.0,541.0,1.0,4.0,444.0,2328.0,0.0,0.0,444.0,2328.0,138.0
28.0,541.0,1.0,5.0,26.0,441.0,0.0,0.0,26.0,441.0,92.0
28.0,541.0,2.0,1.0,93503.0,45909.0,0.0,0.0,93503.0,45909.0,92.0
28.0,541.0,2.0,2.0,37471.0,52246.0,0.0,0.0,37471.0,52246.0,46.0
28.0,541.0,2.0,3.0,20413.0,52983.0,0.0,0.0,20413.0,52983.0,92.0
28.0,541.0,2.0,4.0,4640.0,24564.0,0.0,0.0,4640.0,24564.0,138.0
28.0,541.0,2.0,5.0,300.0,4403.0,0.0,0.0,300.0,4403.0,92.0
28.0,541.0,3.0,1.0,161234.0,77061.0,0.0,0.0,161234.0,77061.0,92.0
28.0,541.0,3.0,2.0,62730.0,87928.0,0.0,0.0,62730.0,87928.0,46.0
28.0,541.0,3.0,3.0,31988.0,85151.0,0.0,0.0,31988.0,85151.0,92.0
28.0,541.0,3.0,4.0,10430.0,57695.0,0.0,0.0,10430.0,57695.0,138.0
28.0,541.0,3.0,5.0,916.0,16251.0,0.0,0.0,916.0,16251.0,92.0
28.0,541.0,4.0,1.0,0.0,0.0,0.0,0.0,16.0,8.0,92.0
