state_code,district_code,social_group,size_class,holding_no,holding_ar,gca_irrigated,gca_unirrigated,gca_total
36,550,INSTITUTIONAL,20.0 & ABOVE,78,4446,1266,1219,2485
36,551,INSTITUTIONAL,20.0 & ABOVE,5,581,291,0,291
36,552,INSTITUTIONAL,20.0 & ABOVE,15,1354,48,689,738
36,553,INSTITUTIONAL,20.0 & ABOVE,42,2714,14,1406,1420
36,554,INSTITUTIONAL,20.0 & ABOVE,16,1953,665,218,883
37,532,SCHEDULED CASTE,20.0 & ABOVE,17,599,21,471,493
37,533,SCHEDULED CASTE,20.0 & ABOVE,0,0,0,0,0
37,534,SCHEDULED CASTE,20.0 & ABOVE,8,200,54,46,100
37,535,SCHEDULED CASTE,20.0 & ABOVE,6,221,2,186,188
36,537,SCHEDULED CASTE,20.0 & ABOVE,8,242,12,81,93
37,538,SCHEDULED CASTE,20.0 & ABOVE,18,660,32,386,418
37,539,SCHEDULED CASTE,20.0 & ABOVE,3,89,34,0,34
37,540,SCHEDULED CASTE,20.0 & ABOVE,36,1502,343,624,968
37,541,SCHEDULED CASTE,20.0 & ABOVE,4,173,62,25,87
36,542,SCHEDULED CASTE,20.0 & ABOVE,1,43,21,0,21
36,543,SCHEDULED CASTE,20.0 & ABOVE,0,0,0,0,0
36,544,SCHEDULED CASTE,20.0 & ABOVE,0,0,0,0,0
36,545,SCHEDULED CASTE,20.0 & ABOVE,2,41,21,0,21
36,546,SCHEDULED CASTE,20.0 & ABOVE,2,62,14,18,31
36,547,SCHEDULED CASTE,20.0 & ABOVE,10,298,86,63,149
36,548,SCHEDULED CASTE,20.0 & ABOVE,7,147,74,0,74
36,549,SCHEDULED CASTE,20.0 & ABOVE,6,183,31,60,91
36,550,SCHEDULED CASTE,20.0 & ABOVE,1,27,14,0,14
36,551,SCHEDULED CASTE,20.0 & ABOVE,1,24,0,12,12
36,552,SCHEDULED CASTE,20.0 & ABOVE,9,351,23,192,215
36,553,SCHEDULED CASTE,20.0 & ABOVE,11,286,0,143,143
36,554,SCHEDULED CASTE,20.0 & ABOVE,9,314,89,100,189
37,532,OTHERS,20.0 & ABOVE,234,8200,389,4446,4835
37,533,OTHERS,20.0 & ABOVE,35,999,285,183,468
37,534,OTHERS,20.0 & ABOVE,131,4390,1853,371,2224
37,535,OTHERS,20.0 & ABOVE,215,6419,1093,2696,3788
36,537,OTHERS,20.0 & ABOVE,149,4313,715,922,1637
37,538,OTHERS,20.0 & ABOVE,341,10275,1380,3018,4397
37,539,OTHERS,20.0 & ABOVE,159,5109,1348,1246,2595
