"state_code","district_code","social_group_code","class_category_code","tnoh","tauh","woandsoh_noh","woandsoh_aoh","wlh_noh","wlh_auh","wotherwiseoh_noh","wotherwiseoh_auh","poplandpotherwiseo_noh","poplandpotherwiseo_auo","poplandpotherwiseo_aul","poplandpotherwiseo_auotho","poplandpotherwiseo_tauh","poplandpotherwiseo_for_fm","poplandpotherwiseo_for_fp","poplandpotherwiseo_for_sop","poplandpotherwiseo_for_um","poplandpotherwiseo_for_ot","poplandpotherwiseo_for_total","wl_for_fm","wl_for_fp","wl_for_sop","wl_for_um","wl_for_ot","wl_for_total","nsa","aucf","nac","aulefl","fothtcf","cwl","tul","lnotaforc","nowih","auwirrigatedh","nowunirrigatedh","auwunirrigatedh","nopih","aupih","aupihirrigated","nohrirrigation","netauhrirrigation","noh_canalirri","auh_canalirri","noh_tanksirri","auh_tanksirri","noh_wellsirri","auh_wellsirri","noh_tubewellsirri","auh_tubewellsirri","noh_othirri","auh_othirri","exnohrirri","nia","nowinusewelecps","nowinusewdiselps","tnowinusewps","tnowinusewopst","nownotinuse","tubewellselec","tubewellsdisel","tubewellstotal","noh_woresideinvor","auh_woresideinvor","noh_woresidepinvorandpinovtor","aoh_woresidepinvorandpinovtor","noh_woresideoutsidevortor","aoh_woresideoutsidevortor","noh_woresideoutsidetor","aoh_woresideoutsidetor","gca_irrigated","gca_unirrigated","gca_total","noh_individual","noh_joint","noh_institutional","auh_individual","auh_joint","auh_institutional"
28,538,2,1,32921,17469.37,32910,17464.13,0,0,0,0,11,4.11,1.13,0,5.24,1.13,0,0,0,0,1.13,0,0,0,0,0,0,10701.54,6355.33,17056.87,0,131.05,0,131.05,281.45,2482,1250.41,17098,8845.56,1003,605.57,328.02,3485,1578.43,237,107.74,195,52.02,44,12.11,2906,1389.25,105,17.31,3485,1578.43,55,26,81,0,11,1170,0,1170,31328,16623.16,102,77.55,1473,763.33,18,5.33,1625.22,9271.73,10896.95,32909,12,0,17461.31,8.06,0
28,538,2,2,20014,28306.99,20002,28286.45,0,0,0,0,12,18.26,2.28,0,20.54,2.28,0,0,0,0,2.28,0,0,0,0,0,0,21033.46,6665.76,27699.22,0.68,192.73,3.06,196.47,411.3,1179,1398.88,14388,16599.63,2321,3034.95,1445.93,3500,2844.81,155,174.85,94,90.42,19,9.19,3174,2543.07,65,27.28,3500,2844.81,29,5,34,11,20,1424,94,1518,19297,27234.85,109,167.62,608,904.52,0,0,2940.76,18504.03,21444.79,19995,19,0,28279.61,27.38,0
28,538,2,3,10419,27147.56,10419,27147.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18629.96,7506.95,26136.91,2.53,328.25,1.72,332.5,678.15,715,1295.35,6838,12649.43,2012,4685.18,1925.82,2727,3221.17,102,158.99,106,77.27,14,7.47,2432,2906.92,88,70.52,2727,3221.17,13,0,13,0,0,1123,6,1129,9975,25971.34,136,363.28,308,812.94,0,0,3302.64,15773.24,19075.88,10402,17,0,27106.36,41.2,0
28,538,2,4,2485,13638.16,2485,13638.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7798.81,4685.32,12484.13,0,369.64,0,369.64,784.39,144,439.05,1362,4308.24,762,3051.52,1129.64,906,1568.69,18,45.66,12,17.55,9,11.41,837,1413.76,40,80.31,906,1568.69,5,0,5,0,5,514,0,514,2380,13024.68,18,113.03,87,500.45,0,0,1578.43,6318.64,7897.07,2481,4,0,13613.06,25.1,0
28,538,2,5,179,2344.94,179,2344.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.81,899.83,1803.64,0,173.93,0,173.93,367.37,19,75.6,131,683.1,19,145.11,24.48,38,100.08,0,0,0,0,4,0.45,25,38.24,13,61.39,38,100.08,0,0,0,0,0,11,0,11,172,2259.89,7,85.05,0,0,0,0,102.16,804.85,907.01,179,0,0,2344.94,0,0
28,538,3,1,280447,138481.65,280143,138326.07,44,34.64,8,0.7,252,89.3,30.94,0,120.24,30.94,0,0,0,0,30.94,24.5,10.14,0,0,0,34.64,94139.88,44332.11,138471.99,1.96,6.69,0.02,8.67,0.99,36343,16891.94,138193,71255.23,9448,5992.71,2998.36,45791,19890.3,11655,5558.23,1905,599.55,1270,560.97,30429,12898.57,669,272.98,45791,19890.3,947,37,984,90,71,11823,39,11862,261591,128606.72,453,314.56,18403,9560.37,0,0,20302.73,75400.57,95703.3,280344,103,0,138433.56,48.09,0
28,538,3,2,154752,221442.97,154424,220967.97,107,166.86,0,0,221,241.57,66.57,0,308.14,66.57,0,0,0,0,66.57,115.47,51.39,0,0,0,166.86,170247.98,51131.98,221379.96,16.98,32.72,9.13,58.83,4.18,15163,18730.72,99703,126481.53,19284,25035.73,10960.42,34447,29691.14,5751,6707.81,1229,803.91,1116,1017.13,26107,20676.87,576,485.42,34447,29691.14,921,238,1159,53,140,12130,28,12158,143301,205085.68,912,1387.34,10539,14969.95,0,0,30330.18,143152.55,173482.73,154702,50,0,221374.53,68.44,0
28,538,3,3,104462,281830.05,104247,281272.89,22,55.16,5,12.82,188,429.66,59.52,0,489.18,59.52,0,0,0,0,59.52,55.16,0,0,0,0,55.16,211514.98,70101.97,281616.95,53.41,125.07,22.03,200.51,12.59,9505,20184.69,61478,137751.79,22815,53578.5,21411.45,32320,41596.14,4328,8229.75,1118,1144.51,1143,1402.72,25587,30003.67,617,815.49,32320,41596.14,724,140,864,538,197,12367,34,12401,97020,261711.16,1419,4078.95,6023,16039.94,0,0,42829.56,172979.11,215808.67,104428,34,0,281735.58,94.47,0
28,538,3,4,41324,240000.43,41243,239521.66,23,104.28,0,0,58,336.37,38.12,0,374.49,38.12,0,0,0,0,38.12,52.07,52.21,0,0,0,104.28,166153.1,73451.72,239604.82,138.64,210.58,38.06,387.28,8.33,3376,13347.33,19136,84917.83,14975,67887.94,25048.46,18351,38395.79,2161,6905.49,573,857.18,903,1565.64,14994,28473.2,280,594.28,18351,38395.79,875,102,977,89,142,7970,53,8023,38470,223465.37,1004,5892.44,1850,10642.62,0,0,39359.59,130074.74,169434.33,41300,24,0,239858.88,141.55,0
28,538,3,5,6590,99170.55,6580,99024.39,0,0,0,0,10,144.33,1.83,0,146.16,1.83,0,0,0,0,1.83,0,0,0,0,0,0,58164.28,39290.3,97454.58,93.89,549.73,42.41,686.03,1029.94,468,5153.93,2331,24027.61,3047,28982.74,9564.42,3515,14718.35,325,2459.85,162,380.7,230,457.16,3021,10984.44,68,436.2,3515,14718.35,151,18,169,18,37,2319,0,2319,6091,91231.22,283,4924.93,216,3014.4,0,0,15060.17,44175.86,59236.03,6576,14,0,98900.73,269.82,0
