"state_code","district_code","social_group","size_class","holding_no","holding_ar","sown_ar","current_fallows_ar","cultivated_ar","uncultivated.land_excluding_fallow","fallow_excluding_current.fallow","culturable_waste_land","uncultivated_land","land_not_for_cultivation"
37,532,3,52,234,8200,4760,3434,8194,0,0,4,4,2
37,533,3,52,35,999,419,505,924,13,21,11,46,29
37,534,3,52,131,4390,2210,2120,4329,0,32,0,32,29
37,535,3,52,215,6419,3770,2340,6110,39,143,0,182,127
36,537,3,52,149,4313,1584,2406,3990,6,164,4,173,150
37,538,3,52,341,10275,4329,5174,9504,0,492,0,492,280
37,539,3,52,159,5109,2483,2172,4655,102,205,12,319,134
37,540,3,52,287,9234,6286,2461,8748,87,224,14,325,161
37,541,3,52,159,6578,4915,1663,6578,0,0,0,0,0
36,542,3,52,57,2182,1210,972,2182,0,0,0,0,0
36,543,3,52,79,2539,1369,1169,2539,0,0,0,0,0
36,544,3,52,31,942,604,338,942,0,0,0,0,0
36,545,3,52,64,1887,1070,570,1640,0,151,0,151,97
36,546,3,52,48,1659,1188,471,1659,0,0,0,0,0
36,547,3,52,59,1884,1148,736,1884,0,0,0,0,0
36,548,3,52,38,1206,603,603,1206,0,0,0,0,0
36,549,3,52,151,4347,2141,1084,3225,0,633,78,710,413
36,550,3,52,157,4883,2434,2108,4542,106,5,56,167,175
36,551,3,52,43,1709,792,615,1407,0,192,0,192,110
36,552,3,52,235,8707,6158,2441,8599,20,47,12,79,28
36,553,3,52,367,11401,8670,2324,10993,0,196,2,198,209
36,554,3,52,123,3571,1723,1688,3411,43,46,15,104,56
37,532,2,52,93,2715,618,2097,2715,0,0,0,0,0
37,533,2,52,2,67,33,33,67,0,0,0,0,0
37,534,2,52,3,92,46,46,92,0,0,0,0,0
37,535,2,52,3,113,57,57,113,0,0,0,0,0
36,537,2,52,8,253,113,120,234,0,16,0,16,4
37,538,2,52,16,622,283,339,622,0,0,0,0,0
37,539,2,52,3,89,40,49,89,0,0,0,0,0
37,540,2,52,23,627,424,203,627,0,0,0,0,0
37,541,2,52,37,999,519,450,969,0,24,0,24,6
36,542,2,52,1,21,10,10,21,0,0,0,0,0
36,543,2,52,3,67,44,23,67,0,0,0,0,0
36,544,2,52,42,1049,564,485,1049,0,0,0,0,0
36,545,2,52,25,664,246,212,457,0,163,2,165,41
36,546,2,52,4,406,338,68,406,0,0,0,0,0
36,547,2,52,0,0,0,0,0,0,0,0,0,0
36,548,2,52,0,0,0,0,0,0,0,0,0,0
36,549,2,52,0,0,0,0,0,0,0,0,0,0
36,550,2,52,2,63,31,31,63,0,0,0,0,0
36,551,2,52,1,41,0,41,41,0,0,0,0,0
36,552,2,52,2,58,29,29,58,0,0,0,0,0
36,553,2,52,4,103,75,28,103,0,0,0,0,0
36,554,2,52,0,0,0,0,0,0,0,0,0,0
37,532,99,52,350,11906,6067,5834,11901,0,0,4,4,2
37,533,99,52,47,1591,716,802,1517,13,21,11,46,29
37,534,99,52,146,4950,2474,2415,4890,0,32,0,32,29
37,535,99,52,240,8764,5091,3311,8402,39,154,2,195,167
36,537,99,52,175,5127,1904,2879,4784,6,180,4,189,154
37,538,99,52,379,11934,5219,5944,11162,0,492,0,492,280
37,539,99,52,195,7065,3199,2889,6088,494,336,12,842,134
37,540,99,52,347,11428,7696,3214,10910,87,255,14,356,161
37,541,99,52,212,9260,6065,2501,8566,0,27,0,27,666
36,542,99,52,100,4395,2474,1921,4395,0,0,0,0,0
36,543,99,52,99,3363,1789,1574,3363,0,0,0,0,0
36,544,99,52,83,2857,1748,1109,2857,0,0,0,0,0
36,545,99,52,134,4565,2659,1453,4112,0,314,2,316,138
36,546,99,52,80,3038,2077,961,3038,0,0,0,0,0
36,547,99,52,72,2274,1318,956,2274,0,0,0,0,0
36,548,99,52,117,5694,3770,1924,5694,0,0,0,0,0
36,549,99,52,188,5877,2868,1566,4434,0,953,78,1031,413
36,550,99,52,238,9420,4943,3564,8508,248,46,106,399,513
36,551,99,52,50,2355,1094,959,2053,0,192,0,192,110
36,552,99,52,261,10470,7136,3227,10363,20,47,12,79,28
36,553,99,52,424,14504,10308,3782,14090,0,202,2,205,209
36,554,99,52,148,5839,2791,2738,5530,78,75,49,202,108
37,532,4,11,14,4,2,2,4,0,0,0,0,0
37,533,4,11,15,4,1,3,4,0,0,0,0,0
37,534,4,11,1,0,0,0,0,0,0,0,0,0
37,535,4,11,23,9,4,4,9,0,0,0,0,0
36,537,4,11,3,1,0,1,1,0,0,0,0,0
37,538,4,11,1,0,0,0,0,0,0,0,0,0
37,539,4,11,25,6,4,2,6,0,0,0,0,0
37,540,4,11,2,1,0,0,1,0,0,0,0,0
37,541,4,11,9,3,3,0,3,0,0,0,0,0
36,542,4,11,41,15,12,3,15,0,0,0,0,0
36,543,4,11,4,1,1,1,1,0,0,0,0,0
36,544,4,11,52,14,9,5,14,0,0,0,0,0
36,545,4,11,256,60,49,10,60,0,0,0,0,0
36,546,4,11,143,41,38,3,41,0,0,0,0,0
36,547,4,11,7,2,1,1,2,0,0,0,0,0
36,548,4,11,16,4,4,0,4,0,0,0,0,0
36,549,4,11,8,3,1,1,3,0,0,0,0,0
36,550,4,11,37,9,8,1,9,0,0,0,0,0
36,551,4,11,2,0,0,0,0,0,0,0,0,0
36,552,4,11,0,0,0,0,0,0,0,0,0,0
36,553,4,11,74,23,15,8,23,0,0,0,0,0
36,554,4,11,0,0,0,0,0,0,0,0,0,0
37,532,1,11,27860,7194,6244,948,7191,0,0,1,1,2
37,533,1,11,32389,9171,7428,1665,9094,0,1,0,1,77
37,534,1,11,53893,13581,11549,2030,13580,0,0,0,0,1
37,535,1,11,54402,13355,9748,3307,13055,12,245,2,260,40
36,537,1,11,20453,5653,2597,2722,5319,16,130,9,155,180
37,538,1,11,52850,13806,10105,3700,13805,0,0,0,0,0
37,539,1,11,44621,11269,6925,4227,11152,10,74,5,89,27
37,540,1,11,46586,11541,9620,1870,11490,1,42,2,44,6
37,541,1,11,25926,6764,6002,723,6725,0,39,0,39,0
36,542,1,11,20820,4478,4319,159,4478,0,0,0,0,0
36,543,1,11,14612,3369,3246,123,3369,0,0,0,0,0
36,544,1,11,6496,1686,1656,19,1675,2,3,0,5,6
36,545,1,11,50970,10531,10320,77,10396,55,2,0,57,78
36,546,1,11,32978,8154,8055,86,8140,1,0,0,1,13
36,547,1,11,34744,8463,8348,113,8461,0,0,0,0,2
36,548,1,11,34152,9038,8581,457,9038,0,0,0,0,0
36,549,1,11,33565,9327,7716,1370,9085,0,12,85,97,145
36,550,1,11,52898,13439,11742,1261,13003,6,127,108,241,195
36,551,1,11,15238,4442,2743,1630,4373,11,23,4,38,31
36,552,1,11,21154,6841,6432,403,6835,0,6,0,6,0
36,553,1,11,15192,4823,4174,640,4814,0,8,0,8,0
36,554,1,11,48943,12497,7999,4304,12303,5,149,3,157,38
37,532,3,11,97929,25117,22444,2654,25097,1,0,10,11,9
37,533,3,11,143661,38735,29915,8412,38327,3,23,0,26,381
37,534,3,11,212595,55466,46905,8558,55463,0,1,0,1,2
