size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_whly-owned_self-operatd_no,holding_whly-owned_self-operatd_ar,holding_whly_leased-in_no,holding_whly_leased-in_ar,holding_whly-operatd_no,holding_whly-operatd_ar,holding_partly-ownd_leased-in_operatd_no,holding_partly-ownd_leased-in_operatd_ownd-ar,holding_partly-ownd_leased-in_operatd_leasdin-ar,holding_partly-ownd_leased-in_operatd_operatd-ar,holding_partly-ownd_leased-in_operatd_tot-ar
ALL CLASSES,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,496068,416957,495250,416012,324,426,40,70,454,202,192,54,449
ALL CLASSES,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,488069,471806,463709,433373,14917,16726,291,67,9152,13256,8384,0,21640
ALL CLASSES,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,685605,643418,685233,640926,23,39,0,0,349,1843,610,0,2453
ALL CLASSES,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,583508,770930,583503,770922,0,0,5,8,0,0,0,0,0
ALL CLASSES,OTHERS,NELLORE,550,ANDHRA PRADESH,36,342982,404532,341796,402210,612,936,184,170,390,592,581,42,1215
ALL CLASSES,OTHERS,KADAPA,551,ANDHRA PRADESH,36,393236,502650,393155,502557,0,0,81,94,0,0,0,0,0
ALL CLASSES,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,544022,945171,542690,941845,1059,1765,0,0,273,730,810,20,1560
ALL CLASSES,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,626250,1141597,625638,1140885,0,0,612,711,0,0,0,0,0
ALL CLASSES,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,561836,555463,560721,553875,859,1039,82,117,174,231,198,3,433
ALL CLASSES,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,111340,187245,110509,185084,806,2110,10,21,15,19,11,0,30
ALL CLASSES,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,38982,33612,38982,33612,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,19332,16651,19327,16649,5,2,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,35100,36362,35100,36362,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,29498,32328,29465,32261,0,0,33,67,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,90948,97770,90948,97770,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,84584,84019,84554,83963,7,8,9,13,14,31,4,0,35
ALL CLASSES,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,106316,102576,105975,102399,227,126,0,0,114,22,30,0,51
ALL CLASSES,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,156327,180118,155338,178225,508,453,0,0,481,835,499,106,1439
ALL CLASSES,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,36050,26845,36008,26813,0,0,42,32,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,39185,36850,38986,36624,104,75,0,0,95,94,57,0,152
ALL CLASSES,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,108507,174416,107979,173571,41,39,5,4,482,596,179,26,802
ALL CLASSES,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,43952,81435,43952,81435,0,0,0,0,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,20810,24157,20801,24144,2,8,0,0,7,3,2,0,5
ALL CLASSES,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,12631,9287,12422,9100,161,106,0,0,48,48,27,6,81
ALL CLASSES,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,21028,18891,21027,18884,0,0,0,0,1,5,1,0,7
ALL CLASSES,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,13818,12384,13814,12383,0,0,4,1,0,0,0,0,0
