size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_canal_no,holding_canal_ar,holding_tank_no,holding_tank_ar,holding_well_no,holding_well_ar,holding_tubewell_no,holding_tubewell_ar,no_holdings_othersources,area_irrigated_othersources,no_holdings_receiving_irrigation,total_irrigated_area
ALL CLASSES,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,591563,393393,317644,170424,49339,36348,1545,1223,81785,61537,12199,8856,453522,278388
ALL CLASSES,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,496068,416957,273864,179774,12173,10467,3501,2562,165389,177277,18170,13473,470515,383554
ALL CLASSES,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,488069,471806,287813,235076,22709,16942,4824,4519,44660,48053,17495,14343,373891,318933
ALL CLASSES,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,685605,643418,369742,313793,3555,4483,3650,2903,62048,66752,18216,15253,456713,403184
ALL CLASSES,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,583508,770930,54844,57124,29918,20138,2675,2914,80173,88411,25606,12297,189785,180884
ALL CLASSES,OTHERS,NELLORE,550,ANDHRA PRADESH,36,342982,404532,100235,89859,108008,80319,13248,14365,35399,44875,7149,5993,258308,235411
ALL CLASSES,OTHERS,KADAPA,551,ANDHRA PRADESH,36,393236,502650,37642,25019,14213,8519,11581,8788,107093,97544,1139,1277,168701,141147
ALL CLASSES,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,544022,945171,102605,116295,11199,11328,14615,22569,35284,43347,9895,12973,168184,206512
ALL CLASSES,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,626250,1141597,22253,25820,7570,4364,5190,5504,99214,116016,917,882,129585,152586
ALL CLASSES,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,561836,555463,10781,9249,33878,15554,36436,23699,145096,107015,1802,1644,216648,157161
ALL CLASSES,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,111340,187245,2307,1821,2021,1332,1917,1925,1265,1253,23,134,7374,6464
ALL CLASSES,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,38982,33612,11126,7805,2165,991,563,376,11274,9568,10,77,24686,18817
ALL CLASSES,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,19332,16651,3178,1834,3113,1884,6333,5193,228,154,15,89,11839,9153
ALL CLASSES,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,35100,36362,194,77,1892,1000,430,222,10236,6822,10,60,12000,8182
ALL CLASSES,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,29498,32328,576,433,857,508,816,499,6788,5344,22,134,8974,6918
ALL CLASSES,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,90948,97770,2645,1972,2159,1652,942,564,16691,13019,26,250,22279,17458
ALL CLASSES,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,84584,84019,15362,10370,4259,2930,2393,1596,16392,10732,32,160,37461,25788
ALL CLASSES,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,106316,102576,1308,1477,14686,10629,48780,41901,3205,1986,116,667,67028,56659
ALL CLASSES,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,156327,180118,9744,7607,30045,21063,9036,7342,9088,9946,52,264,56450,46222
ALL CLASSES,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,36050,26845,6397,3322,6792,3757,159,76,54,21,1073,527,14412,7701
ALL CLASSES,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,39185,36850,1193,732,6196,3947,140,69,301,297,2473,2248,10099,7293
ALL CLASSES,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,108507,174416,3230,2232,4861,2649,412,302,135,108,44774,39091,53280,44383
ALL CLASSES,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,43952,81435,3655,1590,9255,11922,47,20,763,933,1417,1100,15035,15565
ALL CLASSES,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,20810,24157,910,359,1561,1374,64,27,9232,11561,547,493,12298,13815
ALL CLASSES,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,12631,9287,3485,1963,1697,814,201,109,1152,644,441,278,6954,3809
ALL CLASSES,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,21028,18891,5999,3859,1521,989,67,45,5582,5891,574,418,13727,11201
ALL CLASSES,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,13818,12384,2066,1466,867,456,18,8,2192,2030,513,220,5621,4180
ALL CLASSES,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,24706,14318,7104,3225,8845,3858,1291,883,1943,1254,991,372,19844,9592
ALL CLASSES,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,8527,7573,506,287,1090,517,124,75,1564,952,33,31,3306,1863
ALL CLASSES,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,12331,16423,1495,999,606,455,398,527,867,884,136,173,3457,3039
ALL CLASSES,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,29469,42531,164,118,264,238,215,197,3176,3425,13,14,3744,3992
ALL CLASSES,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,16039,12322,783,385,2084,901,661,280,2347,1330,38,34,5747,2930
ALL CLASSES,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,519995,728579,24170,20086,32037,18599,21091,21281,17331,18304,256,469,90002,78739
