size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,sown_ar,current_fallows_ar,cultivated_ar,uncultivated-land_excluding_fallow,fallow_excluding_current-fallow,culturable_waste_land,uncultivated_land,land_not_for_cultivation
ALL CLASSES,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,90948,97770,76595,20997,97592,0,142,0,142,36
ALL CLASSES,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,84584,84019,56655,23384,80039,519,1809,185,2513,1467
ALL CLASSES,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,106316,102576,90590,11420,102010,40,378,22,439,126
ALL CLASSES,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,156327,180118,157030,20197,177226,125,2166,6,2298,594
ALL CLASSES,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,36050,26845,20053,6792,26845,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,39185,36850,34727,2070,36797,7,26,6,39,15
ALL CLASSES,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,108507,174416,146401,26049,172451,19,1544,0,1563,402
ALL CLASSES,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,43952,81435,36707,34011,70718,225,7954,424,8603,2114
ALL CLASSES,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,20810,24157,20508,3649,24157,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,12631,9287,8083,1204,9287,0,0,0,0,0
ALL CLASSES,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,21028,18891,15961,2928,18889,0,1,0,1,0
ALL CLASSES,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,13818,12384,9626,1834,11459,1,616,50,667,258
ALL CLASSES,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,24706,14318,11928,1848,13777,85,129,118,332,209
ALL CLASSES,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,8527,7573,4564,2886,7450,0,77,4,80,43
ALL CLASSES,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,12331,16423,13456,2954,16410,0,10,0,10,2
ALL CLASSES,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,29469,42531,37423,4848,42272,0,196,0,196,63
ALL CLASSES,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,16039,12322,8004,3704,11708,42,413,17,472,143
ALL CLASSES,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,519995,728579,638933,88709,727642,24,162,392,577,360
ALL CLASSES,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,473528,434476,373071,54302,427373,103,1651,50,1804,5299
ALL CLASSES,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,662345,638690,546439,90058,636498,262,910,77,1249,943
ALL CLASSES,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,684543,662932,504429,118318,622748,1142,21454,458,23054,17130
ALL CLASSES,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,342671,419634,215318,176556,391874,3937,12091,1937,17966,9794
ALL CLASSES,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,982314,1204862,970506,229245,1199751,15,3294,7,3316,1795
ALL CLASSES,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,757188,904236,613001,247164,860165,8225,15033,3030,26289,17782
ALL CLASSES,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,663061,667311,554936,104656,659592,708,4077,545,5330,2389
ALL CLASSES,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,468337,536105,484934,43258,528193,125,5047,6,5178,2734
ALL CLASSES,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,525870,349412,327296,22116,349412,0,0,0,0,0
ALL CLASSES,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,446841,342484,308814,31176,339990,811,154,482,1447,1047
ALL CLASSES,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,474738,400083,363855,32337,396193,284,2084,130,2498,1393
ALL CLASSES,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,698714,501366,441220,44393,485613,1356,9145,425,10926,4826
ALL CLASSES,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,565831,470051,452591,15433,468024,62,34,10,106,1921
ALL CLASSES,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,551567,508413,496472,11120,507593,1,93,0,94,726
ALL CLASSES,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,760648,701404,646958,53991,700949,24,268,2,294,161
ALL CLASSES,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,670553,847508,684590,80374,764964,237,45395,6385,52017,30527
ALL CLASSES,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,457015,478919,385766,64649,450415,4670,6580,6543,17793,10712
ALL CLASSES,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,441306,542399,398590,119193,517783,755,10759,1327,12841,11775
ALL CLASSES,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,632902,1050086,950478,96335,1046813,196,1821,140,2156,1117
ALL CLASSES,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,727951,1278010,1132402,125655,1258057,24,12315,270,12609,7344
ALL CLASSES,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,667182,626306,409904,175293,585196,3085,20918,2116,26119,14990
20.0 & ABOVE,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,6,392,196,196,392,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,10,526,263,263,526,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,4,268,118,149,268,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MEDAK,535,TELANGANA,37,16,2011,1076,891,1967,0,2,2,4,39
20.0 & ABOVE,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,10,318,118,200,318,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,4,377,189,189,377,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,30,1778,642,613,1255,392,131,0,523,0
20.0 & ABOVE,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,1,65,33,33,65,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,12,1510,544,302,846,0,4,0,4,660
20.0 & ABOVE,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,41,2149,1232,917,2149,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,17,757,376,381,757,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,10,867,581,286,867,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,43,1973,1323,651,1973,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,26,911,519,391,911,0,0,0,0,0
