size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_whly_irri_no,holding_whly_irri_ar,holding_whly_rain_no,holding_whly_rain_ar,holding_prtly_irri_no,holding_prtly_irri_tot-ar,holding_prtly_irri_irri-ar,holding_recve_irri_no,holding_recve_irri_irri-ar
20.0 & ABOVE,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,2,62,1,14,1,18,0,0,0,1,14
20.0 & ABOVE,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,10,298,6,86,4,63,0,0,0,6,86
20.0 & ABOVE,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,7,147,7,74,0,0,0,0,0,7,74
20.0 & ABOVE,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,6,183,2,31,4,60,0,0,0,2,31
20.0 & ABOVE,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,1,27,1,14,0,0,0,0,0,1,14
20.0 & ABOVE,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,1,24,0,0,1,12,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,9,351,2,23,7,192,0,0,0,2,23
20.0 & ABOVE,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,11,286,0,0,11,143,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,9,314,4,86,5,100,0,0,0,4,86
20.0 & ABOVE,OTHERS,ADILABAD,532,TELANGANA,37,234,8200,7,157,158,3998,25,605,208,32,364
20.0 & ABOVE,OTHERS,NIZAMABAD,533,TELANGANA,37,35,999,12,187,13,155,6,77,49,18,236
20.0 & ABOVE,OTHERS,KARIMNAGAR,534,TELANGANA,37,131,4390,94,1754,17,317,11,139,85,105,1839
20.0 & ABOVE,OTHERS,MEDAK,535,TELANGANA,37,215,6419,44,883,128,2373,37,515,193,81,1076
20.0 & ABOVE,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,149,4313,58,575,40,441,36,568,97,94,672
20.0 & ABOVE,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,341,10275,70,981,137,2085,89,1263,366,159,1347
20.0 & ABOVE,OTHERS,NALGONDA,539,TELANGANA,37,159,5109,51,856,30,433,69,1194,385,120,1241
20.0 & ABOVE,OTHERS,WARANGAL,540,TELANGANA,37,287,9234,57,1062,143,4610,52,615,371,109,1433
20.0 & ABOVE,OTHERS,KHAMMAM,541,TELANGANA,37,159,6578,46,1280,35,667,69,2968,382,115,1663
20.0 & ABOVE,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,57,2182,46,1006,11,203,0,0,0,46,1006
20.0 & ABOVE,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,79,2539,45,674,20,426,14,269,80,59,755
20.0 & ABOVE,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,31,942,20,427,9,130,2,47,24,22,451
20.0 & ABOVE,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,64,1887,42,589,17,358,5,123,6,47,595
20.0 & ABOVE,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,48,1659,36,724,6,118,6,346,192,42,916
20.0 & ABOVE,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,59,1884,27,410,13,233,15,505,278,42,688
20.0 & ABOVE,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,38,1206,25,374,13,229,0,0,0,25,374
20.0 & ABOVE,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,151,4347,19,256,94,1279,35,606,194,54,450
20.0 & ABOVE,OTHERS,NELLORE,550,ANDHRA PRADESH,36,157,4883,57,1040,39,918,26,476,298,83,1338
20.0 & ABOVE,OTHERS,KADAPA,551,ANDHRA PRADESH,36,43,1709,11,271,30,482,2,39,32,13,303
20.0 & ABOVE,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,235,8707,39,561,152,4570,44,1027,311,83,872
