size_class,social_group,district_name,district_code,state_name,state_code,holding_total_no,holding_total_area,holding_in_village-in-compelete_no,holding_in_village-in-compelete_area,holding_in_village-in-partly-out-partly_no,holding_in_village-in-partly-out-partly_area,holding_in_village-out-completely_no,holding_in_village-out-completely_area,holding_out_tehsil_no,holding_out_tehsil_area
ALL CLASSES,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,20810,24157,18958,22675,115,264,1558,1129,179,88
ALL CLASSES,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,12631,9287,11175,8174,107,153,1109,757,240,202
ALL CLASSES,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,21028,18891,19354,17847,54,57,1620,987,0,0
ALL CLASSES,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,13818,12384,12194,11374,48,78,653,574,923,357
ALL CLASSES,SCHEDULED TRIBES,NELLORE,550,ANDHRA PRADESH,36,24706,14318,23304,13357,95,116,1234,774,73,70
ALL CLASSES,SCHEDULED TRIBES,KADAPA,551,ANDHRA PRADESH,36,8527,7573,8045,7186,6,10,471,369,5,9
ALL CLASSES,SCHEDULED TRIBES,KURNOOL,552,ANDHRA PRADESH,36,12331,16423,11375,14798,226,788,730,837,0,0
ALL CLASSES,SCHEDULED TRIBES,ANANTHAPUR,553,ANDHRA PRADESH,36,29469,42531,25872,37715,170,310,3396,4481,31,25
ALL CLASSES,SCHEDULED TRIBES,CHITTOOR,554,ANDHRA PRADESH,36,16039,12322,15341,11692,56,114,638,514,4,2
ALL CLASSES,ALL SOCIAL GROUPS,ADILABAD,532,TELANGANA,37,519995,728579,488085,679984,1464,3707,30446,44888,0,0
ALL CLASSES,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,473528,434476,426207,392738,4253,7808,43055,33872,13,58
ALL CLASSES,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,662345,638690,637517,613545,1209,2431,23619,22714,0,0
ALL CLASSES,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,684543,662932,651127,629677,3271,5976,30145,27279,0,0
ALL CLASSES,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,342671,419634,330237,404225,1208,3027,11091,12034,135,349
ALL CLASSES,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,982314,1204862,921061,1123213,3830,10311,57415,71320,8,18
ALL CLASSES,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,757188,904236,721959,852228,3321,9359,31908,42648,0,0
ALL CLASSES,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,663061,667311,632532,638432,2332,3301,28197,25578,0,0
ALL CLASSES,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,468337,536105,434125,490775,6673,15380,27104,28746,435,1204
ALL CLASSES,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,525870,349412,464963,304147,16987,24415,43904,20799,16,51
ALL CLASSES,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,446841,342484,394404,291563,13471,23104,38889,27618,77,200
ALL CLASSES,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,474738,400083,448255,377446,5280,9284,21203,13353,0,0
ALL CLASSES,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,698714,501366,613442,440299,7236,13155,77193,46144,843,1767
ALL CLASSES,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,565831,470051,498571,406378,5864,10067,58176,47304,3220,6302
ALL CLASSES,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,551567,508413,484585,443380,5641,12440,50230,45684,11111,6909
ALL CLASSES,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,760648,701404,689983,639136,5228,9989,65437,52280,0,0
ALL CLASSES,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,670553,847508,591264,760096,7293,18341,56322,59227,15674,9845
ALL CLASSES,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,457015,478919,426981,445559,2176,5535,25871,24866,1987,2959
ALL CLASSES,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,441306,542399,392095,483137,4001,10844,42448,45977,2762,2441
ALL CLASSES,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,632902,1050086,558937,928477,9504,36140,61552,81020,2909,4449
ALL CLASSES,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,727951,1278010,660082,1156111,5350,16629,58700,97520,3819,7750
ALL CLASSES,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,667182,626306,620080,581007,4525,10581,40539,32350,2038,2368
20.0 & ABOVE,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,6,392,6,392,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,10,526,10,526,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,4,268,4,268,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MEDAK,535,TELANGANA,37,16,2011,16,2011,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,10,318,10,318,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,4,377,4,377,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,30,1778,30,1778,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,1,65,1,65,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,12,1510,12,1510,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,41,2149,41,2149,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,17,757,17,757,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,10,867,10,867,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,43,1973,43,1973,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,26,911,23,791,0,0,0,0,3,119
20.0 & ABOVE,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,3,92,3,92,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,72,4341,72,4341,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,31,1347,31,1347,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,78,4446,72,4191,0,0,5,186,1,69
20.0 & ABOVE,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,5,581,5,581,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,15,1354,15,1354,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,42,2714,41,2693,0,0,0,0,1,21
20.0 & ABOVE,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,16,1953,15,1881,1,73,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,17,599,17,599,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,8,200,8,200,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,6,221,6,221,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,8,242,8,242,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,18,660,18,660,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,3,89,3,89,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,36,1502,36,1502,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,4,173,4,173,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,1,43,1,43,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,2,41,2,41,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,2,62,2,62,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,10,298,10,298,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,7,147,7,147,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,6,183,6,183,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,1,27,1,27,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,1,24,1,24,0,0,0,0,0,0
